,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Oman,beta,958385.4337478909,1429.2913437981806,956959.3172196357,305,30.046377,0.016,1.0,0.016,1.0,7.0169999999999995
1,51633,20,hybrid,1000,216,Mozambique,beta,785744.1714742277,1180.0,784808.9284244494,278,22.300804,0.016,1.0,0.016,1.0,3.3659999999999997
2,51633,20,hybrid,1000,216,Mozambique,gamma,949782.7920538316,1216.5622211089874,948537.4572196394,949,22.08215,0.016,2.05,0.032799999999999996,1.0,3.3659999999999997
3,51633,20,hybrid,1000,216,Bangladesh,delta,993161.9621413188,2626.277864215281,990523.0637265278,527,30.171984,0.016,2.2,0.0352,1.0,3.4690000000000003
4,51633,20,hybrid,1000,216,Oman,gamma,1015857.0727749236,1420.0,1014489.1336174256,223,29.981846,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
5,51633,20,hybrid,1000,216,Gambia,alpha,979609.793535396,960.0,978906.5807946628,787,22.33068,0.016,1.67,0.02672,1.0,7.228999999999999
6,51633,20,hybrid,1000,216,Bangladesh,delta,991812.3321685455,2300.0,989331.4608655284,666,30.092659,0.016,2.2,0.0352,1.0,3.4690000000000003
7,51633,20,hybrid,1000,216,Bangladesh,delta,992950.5406837869,3080.0,989864.0190543793,711,30.277163,0.016,2.2,0.0352,1.0,3.4690000000000003
8,51633,20,hybrid,1000,216,Gambia,alpha,978854.1778395418,1340.0,977539.2904389598,155,22.183842,0.016,1.67,0.02672,1.0,7.228999999999999
9,51633,20,hybrid,1000,216,Gambia,alpha,980217.4863932213,1120.0,978881.2629558045,796,22.293135,0.016,1.67,0.02672,1.0,7.228999999999999
10,51633,20,hybrid,1000,216,Mozambique,gamma,952027.2062353848,1380.0,950898.4005203666,406,22.263498,0.016,2.05,0.032799999999999996,1.0,3.3659999999999997
11,51633,20,hybrid,1000,216,Mozambique,beta,782750.4897460588,1040.0,781485.4948966076,543,22.328037,0.016,1.0,0.016,1.0,3.3659999999999997
12,51633,20,hybrid,1000,216,Gambia,alpha,985074.8133810257,1220.0,984055.8996027871,32,22.155506,0.016,1.67,0.02672,1.0,7.228999999999999
13,51633,20,hybrid,1000,216,Mozambique,alpha,920819.1822475132,1140.0,919361.8209945374,818,22.383804,0.016,1.67,0.02672,1.0,3.3659999999999997
14,51633,20,hybrid,1000,216,Oman,gamma,1015800.4839045808,1340.0000000000002,1014465.8060882476,233,30.061144,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
15,51633,20,hybrid,1000,216,Gambia,beta,898679.8319762932,940.0,897530.1702108637,424,22.255527,0.016,1.0,0.016,1.0,7.228999999999999
16,51633,20,hybrid,1000,216,Gambia,alpha,982552.9653375361,1080.0,981269.0453316963,865,22.111902,0.016,1.67,0.02672,1.0,7.228999999999999
17,51633,20,hybrid,1000,216,Mozambique,beta,778543.6586862465,1189.1877464274107,777484.2310496178,430,22.305538,0.016,1.0,0.016,1.0,3.3659999999999997
18,51633,20,hybrid,1000,216,Oman,gamma,1015438.3761797209,1420.0,1013997.4699520264,222,29.966078,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
19,51633,20,hybrid,1000,216,Bangladesh,delta,993781.214256125,2960.0,990907.0848250845,280,30.114452,0.016,2.2,0.0352,1.0,3.4690000000000003
20,51633,20,hybrid,1000,216,Gambia,alpha,979622.487995864,1220.0,978612.5718332455,876,22.179422,0.016,1.67,0.02672,1.0,7.228999999999999
21,51633,20,hybrid,1000,216,Mozambique,beta,779733.3466932075,1128.916100448256,778352.0630111462,472,22.229488,0.016,1.0,0.016,1.0,3.3659999999999997
22,51633,20,hybrid,1000,216,Mozambique,beta,781869.1496159169,955.4070215745863,780866.4946858687,934,22.202816,0.016,1.0,0.016,1.0,3.3659999999999997
23,51633,20,hybrid,1000,216,Bangladesh,delta,994107.286377294,2520.0,991511.2147866376,187,30.244171,0.016,2.2,0.0352,1.0,3.4690000000000003
24,51633,20,hybrid,1000,216,Oman,gamma,1015655.8612271686,1740.0,1014054.3685802841,302,30.005571,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
25,51633,20,hybrid,1000,216,Bangladesh,delta,992872.2914084389,2860.0,990165.1671803568,851,30.264627,0.016,2.2,0.0352,1.0,3.4690000000000003
26,51633,20,hybrid,1000,216,Bangladesh,beta,873553.4884607586,2660.0,871156.1883931749,707,30.21446,0.016,1.0,0.016,1.0,3.4690000000000003
27,51633,20,hybrid,1000,216,Bangladesh,delta,993650.9205596189,2960.0,990754.8493653613,509,30.069237,0.016,2.2,0.0352,1.0,3.4690000000000003
28,51633,20,hybrid,1000,216,Gambia,delta,1003514.9259551471,1040.0,1002603.0521220617,762,22.157196,0.016,2.2,0.0352,1.0,7.228999999999999
29,51633,20,hybrid,1000,216,Bangladesh,beta,871682.0340442336,2080.0,869699.4299709628,935,30.072458,0.016,1.0,0.016,1.0,3.4690000000000003
30,51633,20,hybrid,1000,216,Oman,gamma,1015617.5618523242,1500.0,1014110.0176918383,72,30.1096,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
31,51633,20,hybrid,1000,216,Bangladesh,delta,992696.7063027716,2680.0,990148.813170814,215,30.261246,0.016,2.2,0.0352,1.0,3.4690000000000003
32,51633,20,hybrid,1000,216,Oman,gamma,1012761.3267896979,1600.0,1011350.3591256803,876,29.935965,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
33,51633,20,hybrid,1000,216,Gambia,alpha,981203.0087080497,960.0000000000001,980321.4402753956,827,22.181479,0.016,1.67,0.02672,1.0,7.228999999999999
34,51633,20,hybrid,1000,216,Oman,gamma,1015048.9964742861,1240.0,1013651.8274977517,61,30.052399,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
35,51633,20,hybrid,1000,216,Mozambique,gamma,948975.8665159578,940.0,948308.3925399426,874,22.178547,0.016,2.05,0.032799999999999996,1.0,3.3659999999999997
36,51633,20,hybrid,1000,216,Gambia,delta,1002336.2489825302,1280.0,1001030.1799234359,561,22.160301,0.016,2.2,0.0352,1.0,7.228999999999999
37,51633,20,hybrid,1000,216,Bangladesh,alpha,969784.0325621405,2960.0,967069.8191309215,93,30.151184,0.016,1.67,0.02672,1.0,3.4690000000000003
38,51633,20,hybrid,1000,216,Oman,delta,1016962.1833195308,1560.0,1015589.4538480804,998,29.884377,0.016,2.2,0.0352,1.0,7.0169999999999995
39,51633,20,hybrid,1000,216,Oman,delta,1018268.7259712815,1520.0,1016590.5060209252,858,29.887964,0.016,2.2,0.0352,1.0,7.0169999999999995
40,51633,20,hybrid,1000,216,Gambia,alpha,979019.4518299607,1080.0,977959.4584508229,655,22.009546,0.016,1.67,0.02672,1.0,7.228999999999999
41,51633,20,hybrid,1000,216,Mozambique,beta,787023.1426602264,1108.916100448256,786053.3648934299,516,22.404816,0.016,1.0,0.016,1.0,3.3659999999999997
42,51633,20,hybrid,1000,216,Bangladesh,delta,993146.9674528469,2580.0,990522.9985929336,954,30.069706,0.016,2.2,0.0352,1.0,3.4690000000000003
43,51633,20,hybrid,1000,216,Gambia,alpha,981281.4156103549,1140.0,980118.1598858495,744,22.36032,0.016,1.67,0.02672,1.0,7.228999999999999
44,51633,20,hybrid,1000,216,Mozambique,beta,782873.6587842104,780.0,782092.0452117415,489,22.317305,0.016,1.0,0.016,1.0,3.3659999999999997
45,51633,20,hybrid,1000,216,Bangladesh,delta,993515.3036713795,2720.0,990641.3044328734,448,30.147568,0.016,2.2,0.0352,1.0,3.4690000000000003
46,51633,20,hybrid,1000,216,Gambia,alpha,980217.4746585103,980.0,979315.7964238815,16,22.228365,0.016,1.67,0.02672,1.0,7.228999999999999
